,민원내용
0,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다.

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다.

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널)

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
1,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다.

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다.

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널)

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
2,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다.

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다.

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널)

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
3,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다. 

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다. 

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널) 

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다 

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
4,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다. 

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다. 

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널) 

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다 

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
5,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다. 

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다. 

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널) 

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다 

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
6,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다. 

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다. 

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널) 

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다 

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
7,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다. 

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다. 

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널) 

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다 

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
8,"&lt; 동탄 경부고속도로 직선화 구간 및 동서 상부도로가 반드시 공사일정 내에 개통할 수 있도록 일정 단축 방안을 다각도로 검토 바랍니다. &gt;
                                                                                                                                                                                                                                         

안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다.


1. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


2. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


3. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


4. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


5. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


6. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널)

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다

감사합니다
"
9,"안녕하세요. 경부고속도로 직선화 공사구간 북측 입구의 [동탄역 예미지3차]에 입주할 입주민입니다.

1. 소음/매연 관련하여 부족한 법의 허점으로 인해, 실제 거주하는 사람들이 부당한 피해를 당하는 일은 결단코 없어야 합니다.

2. 용서고속도로는 2.6km 구간에 지하터널+방음터널+지하터널+방음터널+지하터널...]이 연속으로 2.6km 이어져 있습니다.
그럼 용서고속도로 또한 [방재 1등급 시설]물인데, 그곳은 왜 가능하고 경부지하화에 방음터널을 붙이는 건 안되는 건가요?
방재 관련 명확한 상세 규정을 회신 바랍니다.
ㅡ&gt; 철골 구조물은 1등급 시설물에 사용 불가능하다는 규정 회신 요망!!


3. 한국 도로공사와 LH의 말이 서로 다릅니다.
도로공사가 통채로 연결된 방음터널을 거절한게 아니고,
처음부터 LH가 그 설계안을 가지고 왔다고 말하고 있습니다.
도대체 지금 누구 말이 맞는 건가요?


4. 지하화 터널과 방음벽 터널이 40~100m 가량 떨어진 방음터널은 절대 인정할 수 없습니다.
이것은 터널 2개가 코앞에 생기게 되는 오히려 최악의 상황입니다!!
당신이 주민이라면 그 안을 받아들 일 수 있나요?


5. 심지어 환기구멍도 예미지3차 앞.
지상 공원도 예미지 쪽은 1/3을 관리사무소 용도로 갑자기 전환.
보상을 해줘도 모자랄 마당에, 안좋은 건 다 예미지3차 앞에 몰아넣는데 이걸 그누가 이해 합니까?


6. &apos;동탄2 경부직선화 공사&apos; 일정 지연에 대한 주민들의 우려와 불만이 매우 큽니다.
그리고 [방음터널] 연장이 없을 경우 예미지3차 주민들이 영원히 소음과 매연에 고통받는 것은 물론이고, [동탄역 지상공원]과 [치동천] 역시 고속도로 소음 때문에 그 가치가 빛을 잃어버릴 수 밖에 없습니다.


7. 동탄2 경부직선화 공사 일정이 지연되지 않도록 하기 위해서,
LH에서는 [방음터널] 연장 설계 시 최대한 다각도로 적극적인 방법을 검토 요청 드립니다.
ㅡ 신공법 도입 (트러스형 방음터널)

그리고 일정을 최대한 단축해서 동서도로 중 일부 주요 도로라도 미리 선개통 할 수 있는 방법을 모색 바랍니다

ㅡ 동탄역 예미지3차 입주민 일동 ㅡ"
